MerchantTransactionID;MerchantFunctionID;GUWID;GUWIDReference;CardHolderName;CardNumber;CardExpiryDate;TransactionAmount;Currency;TransactionTime;Country;TransactionMode;StatusCode;StatusDescription;Customer;BusinessCase;BC_SIG;Affiliate
1,32229E+16;;C102865112228709594940;;SUPPRESSED;6010;Apr 04;15000;USD;25.07.2005 12:24;ZA;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32229E+16;;C107360112229393399253;;SUPPRESSED;4654;Jul 03;30000;USD;25.07.2005 14:18;AT;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32229E+16;;C100465112229491826238;;SUPPRESSED;4996;Oct 06;5000;USD;25.07.2005 14:35;DK;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,3223E+16;;C321501112229664627214;;SUPPRESSED;8000;Mar 08;2500;USD;25.07.2005 15:04;AT;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,3223E+16;;C309209112229665130332;;SUPPRESSED;8000;Mar 08;2500;USD;25.07.2005 15:04;AT;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,3223E+16;;C322006112229731777196;;SUPPRESSED;1302;Apr 06;10000;USD;25.07.2005 15:15;NO;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32231E+16;;C212038112231161687460;;SUPPRESSED;457;Aug 06;16000;USD;25.07.2005 19:13;NO;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C205274112231657788376;;SUPPRESSED;1000;Jun 08;5500;USD;25.07.2005 20:36;CO;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C322854112231729949946;;SUPPRESSED;1951;Jun 07;5500;USD;25.07.2005 20:48;DK;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C116376112231792208712;;SUPPRESSED;4654;Jul 05;45000;USD;25.07.2005 20:58;AT;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C123339112231810533218;;SUPPRESSED;1951;Jun 07;11500;USD;25.07.2005 21:01;DK;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C116690112231840635236;;SUPPRESSED;8866;Nov 06;5000;USD;25.07.2005 21:06;SE;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C206827112231883498898;;SUPPRESSED;7392;Nov 06;7000;USD;25.07.2005 21:13;DK;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C217190112231916355865;;SUPPRESSED;1951;Jun 07;10000;USD;25.07.2005 21:19;DK;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C119193112232228585195;;SUPPRESSED;4844;Nov 05;5000;USD;25.07.2005 22:11;DK;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32232E+16;;C209619112232321119020;;SUPPRESSED;852;Nov 06;5000;USD;25.07.2005 22:26;SE;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32233E+16;;C311643112232630560029;;SUPPRESSED;8494;Sep 05;10000;USD;25.07.2005 23:18;SE;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
1,32233E+16;;C300265112232860196946;;SUPPRESSED;8421;Nov 06;5000;USD;25.07.2005 23:56;SE;3;0;Transaction OK;Getnet Test;Getnet Test;56500;
